Book,Chapter,Verse,ASY,TRL,ENG
,,8,ܘܗ̇ܝ، ܟܲܕ ܡ̣ܢ ܩܵܕ݇ܡ ܥܕܵܢܵܐ ܦܝܼܫܬܵܐ ܝܗ݇ܘܵܐ ܡܘܼܠܸܦܬܵܐ ܒܝܲܕ ܝܸܡܘܼܗ̇، ܐ݇ܡܝܼܪܵܗ̇، ”ܗܲܒ݂݇ܠ ܠܝܼ ܐܵܕܝܼܵܐ ܠܐܲܟ݂ܵܐ ܓܵܘ ܡܵܐܢܵܐ ܪܹܫܵܐ ܕܝܘܿܚܲܢܵܢ ܡܲܥܡܕܵܢܵܐ.“,"O hay, kad min qam 'dana peeshta ywa moelipta byad yimoeha, meeraha, ”hal-lee adeea lakha gaw mana resha dyookhanan ma'mdana.“","And she, being put forward by her mother, saith, Give me here in a charger the head of John the Baptist."
,,9,ܦܫܝܼܡ ܠܹܗ ܡܲܠܟܵܐ، ܐܝܼܢܵܐ ܒܘܼܬ ܡܵܘܡܵܬܹ̈ܐ، ܘܒܘܼܬ ܐܵܢܝܼ ܕܝ݇ܬܝܼܒܹܐ ܝܗ݇ܘܵܘ، ܦܩܝܼܕ ܠܹܗ ܕܦܵܐܹܫ ܝܘܼܗ݇ܒ݂ܵܐ ܐܸܠܘܼܗ̇.,"Psheem-leh malka, eena boet mawmate, o boet anee dteebe ywaw, pqeed-leh dpaesh yoewa iloeha.","And the king was grieved; but for the sake of his oaths, and of them which sat at meat with him, he commanded it to be given;"
,,10,ܫܘܼܕܸܪܹܗ ܘܡܘܼܦܪܸܡ ܠܹܗ ܪܹܫܵܐ ܕܝܘܿܚܲܢܵܢ ܓܵܘ ܒܹܝܬ ܐܲܣܝܼܪܹ̈ܐ.,Shoedireh o moeprim-leh resha dyookhanan gaw beyt aseere.,"and he sent, and beheaded John in the prison."
,,11,ܘܦܝܼܫ ܠܹܗ ܡܘܼܐܬܝܵܐ ܪܹܫܹܗ ܓܵܘ ܡܵܐܢܵܐ، ܘܦܝܼܫ ܠܹܗ ܝܘܼܗ݇ܒ݂ܵܐ ܠܒܪܵܬܵܐ، ܘܗ̇ܝ ܡܘܼܐܬܹܐ ܠܵܗ̇ ܩܵܐ ܝܸܡܘܼܗ̇.,"O peesh-leh moetya resheh gaw mana, o peesh-leh yoewa lbrata, o hay moete-laha qa yimoeha.","And his head was brought in a charger, and given to the damsel: and she brought it to her mother."
,,12,ܐ݇ܬܹܐ ܠܗܘܿܢ ܬܲܠܡܝܼ̈ܕܹܐ ܕܝܘܿܚܲܢܵܢ ܘܫܩܝܼܠ ܠܗܘܿܢ ܠܫܠܲܕܹܗ ܘܩܒ݂ܝܼܪܵܐ ܠܗܘܿܢ، ܘܐ݇ܬܹܐ ܠܗܘܿܢ ܡܘܼܚܒܸܪܗܘܿܢ ܠܝܼܫܘܿܥ.,"te-lhoon talmeede dyookhanan o shqeel-lhoon lshladeh o qweera-lhoon, o te-lhoon moekhbirhoon leeshoo'.","And his disciples came, and took up the corpse, and buried him; and they went and told Jesus."
,,13,ܐܝܼܡܲܢ ܕܫܡܝܼܥ ܠܹܗ ܝܼܫܘܿܥ ܒܘܼܬ ܝܘܿܚܲܢܵܢ، ܒܢܲܦ̮ܫܹܗ ܫܘܼܢܹܐ ܠܹܗ ܒܓܵܡܝܼ ܠܕܘܼܟܵܐ ܐ݇ܚܹܪ݇ܬܵܐ. ܘܟܲܕ ܫܡܝܼܥ ܠܗܘܿܢ ܟܸܢܫܹ̈ܐ ܕܐܲܝܟܵܐ ܝܗ݇ܘܵܐ، ܐ݇ܙܝܼܠ ܠܗܘܿܢ ܒܵܬ݇ܪܹܗ ܒܐܲܩܠܲܝܗܝ ܡ̣ܢ ܡܕܝܼܢܵܬܹ̈ܐ.,"Eeman dshmee' leh eeshoo' boet yookhanan, bnawsheh shoene-leh bgamee ldoeka kheta. O kad shmee' lhoon kinshe dayka ywa, zeel-lhoon bareh baqlayhy min mdeenate.","Now when Jesus heard it, he withdrew from thence in a boat, to a desert place apart: and when the multitudes heard thereof, they followed him on foot from the cities."
,,14,ܦܠܝܼܛ ܠܹܗ ܝܼܫܘܿܥ ܘܚܙܹܐ ܠܹܗ ܟܸܢܫܹ̈ܐ ܪܵܒܵܐ، ܘܪܘܼܚܸܡ ܠܹܗ ܥܲܠܲܝܗܝ، ܘܒܘܼܣܸܡ ܠܹܗ ܡܪ̈ܝܼܥܲܝܗܝ.,"Pleeṭ-leh eeshoo' o khze-leh kinshe raba, o roekhim-leh 'alayhy, o boesim-leh mree'ayhy.","And he came forth, and saw a great multitude, and he had compassion on them, and healed their sick."
,,15,ܘܟܲܕ ܗܘܹܐ ܠܹܗ ܪܲܡܫܵܐ، ܐ݇ܬܹܐ ܠܗܘܿܢ ܬܲܠܡܝܼܕܘܼ̈ܗܝ ܘܐ݇ܡܝܼܪܗܘܿܢ ܠܝܼܫܘܿܥ، ”ܓܵܘ ܒܲܪܝܼܵܐ ܝܘܲܚ ܘܥܕܵܢܵܐ ܥܒ݂ܝܼܪܬܵܐ ܝܠܵܗ̇. ܫܪܝܼ ܠܟܸܢܫܹ̈ܐ ܕܐܵܙܠ݇ܝܼ ܠܡܵܬܘܵܬܹ̈ܐ، ܘܙܵܒ݂ܢܝܼ ܠܗܘܿܢ ܡܹܐܟ݂ܘܼܠܬܵܐ.“,"O kad hwe-leh ramsha, te-lhoon talmeedoehy o meerhoon leeshoo', ”gaw bareea ywakh o 'dana 'weerta-ylaha. Shree lkinshe dazee lmatwate, o zawnee-lhoon mekhoelta.“","And when even was come, the disciples came to him, saying, The place is desert, and the time is already past; send the multitudes away, that they may go into the villages, and buy themselves food."
,,16,ܐܝܼܢܵܐ ܝܼܫܘܿܥ ܐ݇ܡܝܼܪܹܗ ܐܸܠܲܝܗܝ، ”ܠܹܐ ܝܠܵܗ̇ ܣܢܝܼܩܬܵܐ ܕܐܵܙܠ݇ܝܼ، ܐܲܚܬܘܿܢ ܗܲܒ݂݇ܠܘܼܢ ܠܗܘܿܢ ܡܹܐܟ݂ܘܼܠܬܵܐ.“,"Eena eeshoo' meereh ilayhy, ”le-ylaha sneeqta dazee, akhtoon haloen-lhoon mekhoelta.“","But Jesus said unto them, They have no need to go away; give ye them to eat."
,,17,ܐܵܢܝܼ ܓ̰ܘܼܘܸܒ ܠܗܘܿܢ ܐܸܠܹܗ، ”ܠܲܝܬ ܠܲܢ ܠܐܲܟ݂ܵܐ ܐܸܠܵܐ ܚܲܡܫܵܐ ܠܲܚܡܹ̈ܐ ܘܬܲܪܬܹܝ ܢܘܼܢܹ̈ܐ.“,"Anee joewib-lhoon ileh, ”layt lan lakha ila khamsha lakhme o tartey noene.“","And they say unto him, We have here but five loaves, and two fishes."
,,18,ܐ݇ܡܝܼܪܹܗ ܐܸܠܲܝܗܝ ܝܼܫܘܿܥ، ”ܡܲܝܬܹܝܡܘܼܢ ܠܗܘܿܢ ܠܐܲܟ݂ܵܐ ܠܟܸܣ ܠܝܼ.“,"meereh ilayhy eeshoo', ”mayteymoen-lhoon lakha lkis-lee.“","And he said, Bring them hither to me."
,,19,ܘܦܩܝܼܕ ܠܹܗ ܠܟܸܢܫܹ̈ܐ ܕܝܵܬܒ݂ܝܼ ܗ݇ܘܵܘ ܥܲܠ ܓܸܠܵܐ. ܘܫܩܝܼܠ ܠܹܗ ܐܵܢܝܼ ܚܲܡܫܵܐ ܠܲܚܡܹ̈ܐ ܘܬܲܪܬܹܝ ܢܘܼܢܹ̈ܐ، ܘܚܝܼܪܹܗ ܒܫܡܲܝܵܐ، ܘܒܘܼܪܸܟ݂ ܠܹܗ، ܘܩܨܹܐ ܠܹܗ، ܘܝܘܼܗ݇ܒܸܠ ܠܹܗ ܠܬܲܠܡܝܼܕܘܼ̈ܗܝ، ܘܬܲܠܡܝܼ̈ܕܹܐ ܝܘܼܗ݇ܒܸܠ ܠܗܘܿܢ ܠܟܸܢܫܹ̈ܐ.,"O pqeed-leh lkinshe dyatwee waw 'al gila. O shqeel-leh anee khamsha lakhme o tartey noene, o kheereh bshmaya, o boerikh-leh, o qṣe-leh, o yoebil-leh ltalmeedoehy, o talmeede yoebil-lhoon lkinshe.","And he commanded the multitudes to sit down on the grass; and he took the five loaves, and the two fishes, and looking up to heaven, he blessed, and brake and gave the loaves to the disciples, and the disciples to the multitudes."
,,20,ܘܟܠܲܝܗܝ ܐ݇ܟ݂ܝܼܠ ܠܗܘܿܢ ܘܣܒ݂ܝܼܥ ܠܗܘܿܢ، ܘܫܩܝܼܠ ܠܗܘܿܢ ܩܸܛܥܵܛܹ̈ܐ ܕܙܝܼܕ ܠܗܘܿܢ، ܬܪܸܥܣܲܪ ܩܘܼܦܹ̈ܐ ܡܸܠܝܹܐ.,"O klayhy kheel-lhoon o swee' lhoon, o shqeel-lhoon qiṭ'aṭe dzeed-lhoon, tri'sar qoepe milye.","And they did all eat, and were filled: and they took up that which remained over of the broken pieces, twelve baskets full."
,,21,ܐܵܢܝܼ ܕܐ݇ܟ݂ܝܼܠ ܠܗܘܿܢ ܐܲܝܟ݂ ܚܲܡܫܵܐ ܐܲܠܦܹ̈ܐ ܐ݇ܢܵܫܹ̈ܐ ܝܗ݇ܘܵܘ، ܫܒ݂ܘܿܩ ܡ̣ܢ ܒܲܟ݂ܬܵܬܹ̈ܐ ܘܝܲܠܘܼܕܹ̈ܐ.,"Anee dkheel-lhoon aykh khamsha alpe nashe ywaw, shwooq min bakhtate o yaloede.","And they that did eat were about five thousand men, beside women an children."
,,22,ܗ̇ܝ ܓܵܗܵܐ ܦܩܝܼܕ ܠܹܗ ܝܼܫܘܿܥ ܠܬܲܠܡܝܼܕܘܼ̈ܗܝ ܕܐܵܣܩܝܼ ܗ݇ܘܵܘ ܓܵܘ ܓܵܡܝܼ ܘܐܵܙܠ݇ܝܼ ܗ݇ܘܵܘ ܡ̣ܢ ܩܵܕ݇ܡ ܕܝܼܹܗ ܠܗ̇ܘ ܡܲܪܙܵܐ ܐ݇ܚܹܪ݇ܢܵܐ، ܟܲܕ ܗ̇ܘ ܡܲܦܫܸܛ ܗ݇ܘܵܐ ܠܟܸܢܫܹ̈ܐ.,"Hay gaha pqeed-leh eeshoo' ltalmeedoehy dasqee waw gaw gamee o azee waw min qam dee-eh lhaw marza khena, kad haw mapshiṭ wa lkinshe.","And straightway he constrained the disciples to enter into the boat, and to go before him unto the other side, till he should send the multitudes away."
,,23,ܐܝܼܡܲܢ ܕܫܘܼܕܸܪܹܗ ܠܟܸܢܫܹ̈ܐ، ܐ݇ܣܝܼܩ ܠܹܗ ܠܛܘܼܪܵܐ ܒܢܲܦ̮ܫܹܗ ܠܨܲܠܘܼܝܹܐ. ܘܗܘܹܐ ܠܹܗ ܚܸܫܟܵܐ ܘܗܹܫ ܗ̇ܘ ܬܵܡܵܐ ܒܢܲܦ̮ܫܹܗ.,"Eeman dshoedireh lkinshe, seeq-leh lṭoera bnawsheh lṣaloeye. O hwe-leh khishka o hesh haw tama bnawsheh.","And after he had sent the multitudes away, he went up into the mountain apart to pray: and when even was come, he was there alone."
,,24,ܘܓܵܡܝܼ ܪܵܒܵܐ ܪܸܚܩܵܐ ܝܗ݇ܘܵܐ ܡ̣ܢ ܒܸܪܙܵܐ ܘܦܝܵܫܵܐ ܡܘܼܫܥܸܫܬܵܐ ܪܵܒܵܐ ܒܝܲܕ ܠܲܦܹ̈ܐ، ܣܵܒܵܒ ܦܵܘܚܵܐ ܠܒܲܠܩܘܼܒ݂ܠܘܼܗ̇ ܝܗ݇ܘܵܐ.,"O gamee raba rikhqa ywa min birza o pyasha moesh'ishta raba byad lape, sabab pawkha lbalqoewloeha ywa.","But the boat was now in the midst of the sea, distressed by the waves; for the wind was contrary."
,,25,ܡܐܲܝܟ݂ ܣܵܥܲܬ ܕܐܸܫܸܬ ܩܵܝܕܲܡܬܵܐ ܐ݇ܙܝܼܠ ܠܹܗ ܝܼܫܘܿܥ ܠܟܸܣ ܠܲܝܗܝ ܒܸܚܕܵܪܵܐ ܥܲܠ ܡ̈ܝܼܵܐ.,Maykh sa'at dishit qaydamta zeel-leh eeshoo' lkis layhy bikhdara 'al meea.,"And in the fourth watch of the night he came unto them, walking upon the sea."
,,26,ܐܝܼܡܲܢ ܕܚܙܹܐ ܠܗܘܿܢ ܐܸܠܹܗ ܬܲܠܡܝܼ̈ܕܹܐ ܒܸܚܕܵܪܵܐ ܥܲܠ ܡ̈ܝܼܵܐ، ܡ̣ܢ ܙܕܘܼܥܬܲܝܗܝ ܫܓ݂ܝܼܫ ܠܗܘܿܢ ܘܡܘܼܩܘܸܚ ܠܗܘܿܢ، ”ܚܸܙܘܵܐ ܝܠܹܗ.“,"Eeman dkhze-lhoon ileh talmeede bikhdara 'al meea, min zdoe'tayhy shgheesh-lhoon o moeqwikh-lhoon, ”khizwa-yleh.“","And when the disciples saw him walking on the sea, they were troubled, saying, It is an apparition; and they cried out for fear."
,,27,ܗܲܪ ܒܗ̇ܝ ܥܕܵܢܵܐ ܓ̰ܘܼܘܸܒ ܠܹܗ ܝܼܫܘܿܥ ܘܐ݇ܡܝܼܪܹܗ ܐܸܠܲܝܗܝ، ”ܗܘܹܝܡܘܼܢ ܠܸܒܵܢܹ̈ܐ، ܐܵܢܵܐ ܝܘܸܢ، ܠܵܐ ܙܵܕܥܝܼܬܘܿܢ.“,"Har bhay 'dana joewib-leh eeshoo' o meereh ilayhy, ”hweymoen libane, ana ywin, la zad'eetoon.“","But straightway Jesus spake unto them, saying, Be of good cheer; it is I; be not afraid."
,,28,ܘܐ݇ܡܝܼܪܹܗ ܐܸܠܹܗ ܫܸܡܥܘܿܢ ܟܹܐܦܵܐ، ”ܡܵܪܝܼ، ܐܸܢ ܐܲܢ݇ܬ ܝܼܘܸܬ، ܦܩܘܿܕ ܠܝܼ ܕܐܵܬܹܝܢ ܠܟܸܣ ܠܘܼܟ݂ ܥܲܠ ܡ̈ܝܼܵܐ.“,"O meereh ileh shim'oon kepa, ”maree, in at eewit, pqood-lee dateyn lkis-loekh 'al meea.“","And Peter answered him and said, Lord, if it be thou, bid me come unto thee upon the waters."
,,29,ܐ݇ܡܝܼܪܹܗ ܐܸܠܹܗ ܝܼܫܘܿܥ، ”ܬܵܐ.“ ܘܨܠܹܐ ܠܹܗ ܫܸܡܥܘܿܢ ܟܹܐܦܵܐ ܡ̣ܢ ܓܵܡܝܼ ܒܸܚܕܵܪܵܐ ܥܲܠ ܡ̈ܝܼܵܐ، ܕܐܵܬܹܐ ܠܟܸܣ ܝܼܫܘܿܥ.,"meereh ileh eeshoo', ”ta.“ o ṣle-leh shim'oon kepa min gamee bikhdara 'al meea, date lkis eeshoo'.","And he said, Come. And Peter went down from the boat, and walked upon the waters, to come to Jesus."
,,30,ܘܟܲܕ ܚܙܹܐ ܠܹܗ ܦܵܘܚܵܐ ܚܲܝܠܵܢܵܐ، ܙܕܝܼܥ ܠܹܗ، ܘܫܘܼܪܹܐ ܠܹܗ ܠܸܛܒܵܥܵܐ، ܘܡܘܼܩܘܸܚ ܠܹܗ، ”ܡܵܪܝܼ، ܦܲܪܸܩ ܠܝܼ،“,"O kad khze-leh pawkha khaylana, zdee' leh, o shoere-leh liṭba'a, o moeqwikh-leh, ”maree, pariq-lee,“","But when he saw the wind, he was afraid; and beginning to sink, he cried out, saying, Lord, save me."
,,31,ܗܲܪ ܒܗ̇ܝ ܥܕܵܢܵܐ ܦܘܼܫܛܵܐ ܠܹܗ ܐܝܼܕܹܗ ܝܼܫܘܿܥ ܘܕܒ݂ܝܼܩ ܠܹܗ ܒܝܼܹܗ ܘܐ݇ܡܝܼܪܹܗ، ”ܝܵܐ ܒܵܨܘܿܪܵܐ ܕܗܲܝܡܵܢܘܼܬܵܐ، ܩܵܡܘܿܕܝܼ ܦܝܼܫ ܠܘܼܟ݂ ܒܫܸܟ؟“,"Har bhay 'dana poeshṭa-leh eedeh eeshoo' o dweeq-leh bee-eh o meereh, ”ya baṣoora dhaymanoeta, qamoodee peesh-loekh bshik?“","And immediately Jesus stretched forth his hand, and took hold of him, and saith unto him, O thou of little faith, wherefore didst thou doubt?"
,,32,ܘܟܲܕ ܥܒ݂ܝܼܪܹܗ ܓܵܘ ܓܵܡܝܼ، ܫܠܹܐ ܠܹܗ ܦܵܘܚܵܐ.,"O kad 'weereh gaw gamee, shle-leh pawkha.","And when they were gone up into the boat, the wind ceased."
,,33,ܘܐܵܢܝܼ ܕܝܼܗ݇ܘܵܘ ܓܵܘ ܓܵܡܝܼ ܣܓ݂ܝܼܕ ܠܗܘܿܢ ܐܸܠܹܗ، ܘܐ݇ܡܝܼܪܗܘܿܢ، ”ܫܲܪܝܼܪܵܐܝܼܬ ܒܪܘܿܢܵܐ ܕܐܲܠܵܗܵܐ ܝܘܸܬ.“,"O anee deewaw gaw gamee sgheed-lhoon ileh, o meerhoon, ”shareeraeet broona dalaha ywit.“","And they that were in the boat worshipped him, saying, Of a truth thou art the Son of God."
,,34,ܥܒ݂ܝܼܪܗܘܿܢ ܘܐ݇ܬܹܐ ܠܗܘܿܢ ܠܐܲܪܥܵܐ ܕܓܹܢܹܣܲܪ.,'weerhoon o te-lhoon lar'a dgenesar.,"And when they had crossed over, they came to the land, unto Gennesaret."
,,35,ܐܝܼܡܲܢ ܕܫܡܝܼܥ ܠܗܘܿܢ ܒܘܼܬ ܕܝܼܹܗ ܐ݇ܢܵܫܹ̈ܐ ܕܗ̇ܝ ܕܘܼܟܵܐ، ܫܘܼܕܸܪܗܘܿܢ ܘܡܘܼܚܒܸܪܗܘܿܢ ܠܟܠܲܝܗܝ ܡܵܬܘܵܬܹ̈ܐ ܕܚܵܕܸܪ̈ܘܵܢܲܝܗܝ، ܘܡܘܼܐܬܹܐ ܠܗܘܿܢ ܠܟܸܣ ܠܹܗ ܟܠܲܝܗܝ ܐܵܢܝܼ ܕܡܪ̈ܝܼܥܹܐ ܝܗ݇ܘܵܘ.,"Eeman dshmee' lhoon boet dee-eh nashe dhay doeka, shoedirhoon o moekhbirhoon lklayhy matwate dkhadirwanayhy, o moete-lhoon lkis-leh klayhy anee dmree'e ywaw.","And when the men of that place knew him, they sent into all that region round about, and brought unto him all that were sick;"
,,36,ܘܦܘܼܪܦܸܠ ܠܗܘܿܢ ܒܝܼܹܗ ܕܕܵܩܪܝܼ ܐܲܚܟ̰ܝܼ ܒܫܸܦܘܼܠܵܐ ܕܠܒ݂ܝܼܫܬܹܗ. ܘܟܠܲܝܗܝ ܐܵܢܝܼ ܕܕܩܝܼܪܗܘܿܢ، ܒܣܝܼܡ ܠܗܘܿܢ.,"O poerpil-lhoon bee-eh ddaqree akhchee bshipoela dlweeshteh. O klayhy anee ddqeerhoon, bseem-lhoon.",and they besought him that they might only touch the border of his garment: and as many as touched were made whole.
,15.0,1,ܗ̇ܝܓܵܗ ܐ݇ܬܹܐ ܠܗܘܿܢ ܣܵܦܪܹ̈ܐ ܘܦܪ̈ܝܼܫܹܐ ܡ̣ܢ ܐܘܿܪܸܫܠܸܡ ܠܟܸܣ ܝܼܫܘܿܥ ܘܒܘܼܩܸܪܗܘܿܢ ܡܸܢܹܗ،,"Haygah te-lhoon sapre o preeshe min oorishlim lkis eeshoo' o boeqirhoon mineh,","Then there come to Jesus from Jerusalem Pharisees and scribes, saying,"
,,2,”ܩܵܡܘܿܕܝܼ ܬܲܠܡܝܼܕܘܼ̈ܟ݂ ܒܸܫܡܵܛܵܐ ܝܢܵܐ ܣܲܦܝܵܢܘܼܬܵܐ ܕܚܘܵܪ̈ܕܸܩܢܹܐ؟ ܣܵܒܵܒ ܠܹܐ ܝܢܵܐ ܚܲܠܘܼܠܹܐ ܐܝܼܕܵܬܲܝ̈ܗܝ ܟܲܕ ܐܵܟ݂ܠܝܼ ܠܲܚܡܵܐ.“,”Qamoodee talmeedoekh bishmaṭa yna sapyanoeta dkhwardiqne? Sabab le yna khaloele eedatayhy kad akhlee lakhma.“,Why do thy disciples transgress the tradition of the elders? for they wash not their hands when they eat bread.
,,3,ܓ̰ܘܼܘܸܒ ܠܹܗ ܐܸܠܲܝܗܝ ܝܼܫܘܿܥ، ”ܩܵܡܘܿܕܝܼ ܐܘܼܦ ܐܲܚܬܘܿܢ ܒܸܫܡܵܛܵܐ ܝܬܘܿܢ ܦܘܼܩܕܵܢܵܐ ܕܐܲܠܵܗܵܐ ܒܝܲܕ ܣܲܦܝܵܢܘܼܬܵܘܟ݂ܘܿܢ؟,"Joewib-leh ilayhy eeshoo', ”qamoodee oep akhtoon bishmaṭa ytoon poeqdana dalaha byad sapyanoetawkhoon?","And he answered and said unto them, Why do ye also transgress the commandment of God because of your tradition?"
,,4,”ܣܵܒܵܒ ܐܲܠܵܗܵܐ ܦܩܝܼܕ ܠܹܗ، ’ܡܝܲܩܸܪ ܠܒܵܒܘܼܟ݂ ܘܠܝܸܡܘܼܟ݂، ܘܡ̇ܢ ܕܨܲܥܸܪ ܠܒܵܒܘܼܗܝ ܝܲܢ ܠܝܸܡܹܗ، ܡܵܘܬܵܐ ܡܵܐܹܬ.‘,"”Sabab Alaha pqeed-leh, ’myaqir lbaboekh o lyimoekh, o man dṣa'ir lbaboehy yan lyimeh, mawta maet.‘","For God said, Honour thy father and thy mother: and, He that speaketh evil of father or mother, let him die the death."
,,5,”ܐܝܼܢܵܐ ܐܲܚܬܘܿܢ ܟܹܐ ܐܵܡܪܝܼܬܘܿܢ ܟܠ ܡ̇ܢ ܕܐܵܡܹܪ ܠܒܵܒܘܼܗܝ ܝܲܢ ܠܝܸܡܹܗ، ’ܡܸܢܕܝܼ ܕܗܵܘܹܐ ܝܘܼܬܪܵܢܵܐ ܐܸܠܘܼܟ݂، ܢܸܕܪܵܐ ܝܠܹܗ ܡܸܢܝܼ ܩܵܐ ܐܲܠܵܗܵܐ،‘ ܠܹܐ ܝܠܵܗ̇ ܐܵܢܲܢܩܵܝܬܵܐ ܕܡܝܲܩܸܪ ܠܒܵܒܘܼܗܝ ܝܲܢ ܠܝܸܡܹܗ.,"”Eena akhtoon ke amreetoon kl man damer lbaboehy yan lyimeh, ’mindee dhawe yoetrana iloekh, nidra-yleh minee qa Alaha,‘ le-ylaha ananqayta dmyaqir lbaboehy yan lyimeh.","But ye say, Whosoever shall say to his father or his mother, That wherewith thou mightest have been profited by me is given to God;"
,,6,”ܒܘܼܛܸܠ ܠܵܘܟ݂ܘܿܢ ܗܹܡܸܙܡܵܢ ܕܐܲܠܵܗܵܐ ܒܝܲܕ ܣܲܦܝܵܢܘܼܬܵܘܟ݂ܘܿܢ.,”Boeṭil lawkhoon hemizman dalaha byad sapyanoetawkhoon.,he shall not honour his father. And ye have made void the word of God because of your tradition.
,,7,”ܝܵܐ ܡܲܫܦܸܪ̈ܵܢܹܐ، ܨܦܵܝܝܼ ܢܘܼܒܹܐ ܠܹܗ ܒܘܼܬ ܕܝܼܵܘܟ݂ܘܿܢ ܐܹܫܲܥܝܵܐ ܢܒ݂ܝܼܵܐ، ܒܹܐܡܵܪܵܐ:,"”Ya mashpirane, ṣpayee noebe-leh boet deeawkhoon esha'ya nweea, bemara:","Ye hypocrites, well did Isaiah prophesy of you, saying,"
,,8,ܐܵܗܵܐ ܥܲܡܵܐ ܒܣܸܦܘܵܬܹ̈ܗ ܟܹܐ ܡܝܲܩܸܪ ܐܸܠܝܼ، ܐܝܼܢܵܐ ܠܸܒܹܗ ܪܸܚܩܵܐ ܝܠܹܗ ܡܸܢܝܼ.,"Aha 'ama bsipwateh ke myaqir ilee, eena libeh rikhqa-yleh minee.",This people honoureth me with their lips; But their heart is far from me.
,,9,ܘܣܪܝܼܩܵܐܝܼܬ ܒܸܣܓ݂ܵܕܵܐ ܝܢܵܐ ܐܸܠܝܼ، ܟܲܕ ܡܲܠܘܼܦܹܐ ܝܢܵܐ ܝܘܼܠܦܵܢܹ̈ܐ ܕܦܘܼܩܕܵܢܹ̈ܐ ܕܒܢܲܝ̈ܢܵܫܵܐ.“,"O sreeqaeet bisghada yna ilee, kad maloepe yna yoelpane dpoeqdane dbnaynasha.“","But in vain do they worship me, Teaching as their doctrines the precepts of men."
,,10,ܘܩܪܹܐ ܠܹܗ ܠܟܸܢܫܹ̈ܐ ܘܐ݇ܡܝܼܪܹܗ ܐܸܠܲܝܗܝ، ”ܫܡܸܥܡܘܼܢ ܘܦܲܪܡܹܝܡܘܼܢ،,"O qre-leh lkinshe o meereh ilayhy, ”shmi'moen o parmeymoen,","And he called to him the multitude, and said unto them, Hear, and understand:"
,,11,”ܡܸܢܕܝܼ ܕܥܵܒܹܪ ܠܦܘܼܡܵܐ ܠܹܐ ܟ̰ܲܦܠܸܢ ܠܒܲܪܢܵܫܵܐ، ܐܸܠܵܐ ܡܸܢܕܝܼ ܕܦܵܠܹܛ ܡ̣ܢ ܦܘܼܡܵܐ، ܗ̇ܘ ܟܹܐ ܟ̰ܲܦܠܸܢ ܠܒܲܪܢܵܫܵܐ.“,"”Mindee d'aber lpoema le chaplin lbarnasha, ila mindee dpaleṭ min poema, haw ke chaplin lbarnasha.“","Not that which entereth into the mouth defileth the man; but that which proceedeth out of the mouth, this defileth the man."
,,12,ܗ̇ܝܓܵܗ ܐ݇ܬܹܐ ܠܗܘܿܢ ܬܲܠܡܝܼܕܘܼ̈ܗܝ ܠܟܸܣ ܠܹܗ ܘܐ݇ܡܝܼܪܗܘܿܢ ܐܸܠܹܗ، ”ܒܝܼܕܵܥܵܐ ܝܘܸܬ ܕܟܪܝܼܒ ܠܗܘܿܢ ܦܪ̈ܝܼܫܹܐ ܐܝܼܡܲܢ ܕܫܡܝܼܥ ܠܗܘܿܢ ܐܵܗܵܐ؟“,"Haygah te-lhoon talmeedoehy lkis-leh o meerhoon ileh, ”beeda'a ywit dkreeb-lhoon preeshe eeman dshmee' lhoon aha?“","Then came the disciples, and said unto him, Knowest thou that the Pharisees were offended, when they heard this saying?"
,,13,ܐܝܼܢܵܐ ܗ̇ܘ ܐ݇ܡܝܼܪܹܗ ܐܸܠܲܝܗܝ، ”ܟܠ ܢܨܝܼܒ݂ܬܵܐ ܕܠܵܐ ܢܨܝܼܒ݂ܵܐ ܠܹܗ ܒܵܒܝܼ ܕܒܫܡܲܝܵܐ ܒܸܬ ܦܵܝܫܵܐ ܥܩܝܼܪܬܵܐ.,"Eena haw meereh ilayhy, ”kl nṣeewta dla nṣeewa-leh babee dbshmaya bit paysha 'qeerta.","But he answered and said, Every plant which my heavenly Father planted not, shall be rooted up."
,,14,”ܫܒ݂ܘܿܩܘܼܢ ܠܗܘܿܢ، ܣܸܡܝܹ̈ܐ ܝܢܵܐ ܘܡܗܲܕܝܵܢܹ̈ܐ ܕܣܸܡܝܹ̈ܐ. ܘܐܸܢ ܣܸܡܝܵܐ ܠܣܸܡܝܵܐ ܡܗܲܕܹܐ، ܬܸܪܘܲܝܗܝ ܒܓܘܼܒܵܐ ܒܸܬ ܢܵܦܠܝܼ.“,"”Shwooqoen-lhoon, simye yna o mhadyane dsimye. O in simya lsimya mhade, tirwayhy bgoeba bit naplee.“","Let them alone: they are blind guides. And if the blind guide the blind, both shall fall into a pit."
,,15,ܗ̇ܝܓܵܗ ܐ݇ܡܝܼܪܹܗ ܐܸܠܹܗ ܫܸܡܥܘܿܢ ܟܹܐܦܵܐ، ”ܡܵܪܝܼ، ܦܲܫܸܩ ܠܲܢ ܐܵܗܵܐ ܡܲܬܠܵܐ.“,"Haygah meereh ileh shim'oon kepa, ”maree, pashiq lan aha matla.“","And Peter answered and said unto him, Declare unto us the parable."
